"","Filename","Frame","Time..HMS.","Period","Period.time..HMS.","Length..mm.","Precision..mm.","RMS..mm.","Range..mm.","Direction..deg.","Horz..Dir...deg.","Vert..Dir...deg.","Mid.X..mm.","Mid.Y..mm.","Mid.Z..mm.","OpCode","TapeReader","Depth","Comment","Year","Dive","Transect.Number","Dive.Type","X","X.1","X.2","X.3","Family","Genus","Species","Code","Number","Stage","Activity","Check.ID","Comment.1","Event.Time.HH.MM.SS"
"15","SL_2022_CSEO_Dive_01_08-41-43.000.avi",18688,"9:26:21",NA,NA,NA,11.207,0.907,2290.962,10.551,NA,NA,299.691,284.536,-2253.382,1,"KelliiWood",135,"N/A",2022,1,20,"Line",NA,NA,NA,NA,"halibut","halibut",200,200,15,NA,NA,NA,"NO LENGTH - wrong direction",NA
"16","SL_2022_CSEO_Dive_01_08-41-43.000.avi",19961,"9:27:03",NA,NA,NA,12.512,0.697,2380.133,13.129,NA,NA,-396.799,357.918,-2319.37,1,"KelliiWood",135,"N/A",2022,1,20,"Line",NA,NA,NA,NA,"cod","Pacific tomcod",250,250,16,NA,NA,NA,"",NA
"17","SL_2022_CSEO_Dive_01_08-41-43.000.avi",21339,"9:27:49",NA,NA,247.955,12.129,1.372,1876.11,19.672,23.39,8.055,-630.294,-40,-1766.612,1,"KelliiWood",135,"N/A",2022,1,20,"Line",NA,NA,NA,NA,"halibut","halibut",200,200,17,NA,NA,NA,"",NA
"18","SL_2022_CSEO_Dive_01_08-41-43.000.avi",21575,"9:27:57",NA,NA,NA,3.973,0.155,1344.577,12.282,NA,NA,49.863,-286.91,-1312.663,1,"KelliiWood",135,"N/A",2022,1,20,"Line",NA,NA,NA,NA,"flatfish","rex sole",125,125,18,NA,NA,NA,"",NA
"19","SL_2022_CSEO_Dive_01_08-41-43.000.avi",23817,"9:29:12",NA,NA,NA,11.488,1.911,2306.668,11.798,NA,NA,260.047,384.417,-2259.495,1,"KelliiWood",135,"N/A",2022,1,20,"Line",NA,NA,NA,NA,"cod","Pacific tomcod",250,250,19,NA,NA,NA,"",NA
"20","SL_2022_CSEO_Dive_01_08-41-43.000.avi",25928,"9:30:22",NA,NA,NA,9.161,0.561,2086.365,31.273,NA,NA,-1075.669,119.177,-1783.718,1,"KelliiWood",135,"N/A",2022,1,20,"Line",NA,NA,NA,NA,"halibut","halibut",200,200,20,NA,NA,NA,"NO LENGTH - wrong direction",NA
"21","SL_2022_CSEO_Dive_01_08-41-43.000.avi",32506,"9:34:02",NA,NA,248.265,4.386,1.924,1590.143,5.481,11.308,7.103,147.465,36.311,-1582.874,1,"KelliiWood",135,"N/A",2022,1,20,"Line",NA,NA,NA,NA,"halibut","halibut",200,200,21,NA,NA,NA,"",NA
"22","SL_2022_CSEO_Dive_01_08-41-43.000.avi",33647,"9:34:40",NA,NA,NA,6.689,1.705,1704.238,23.305,NA,NA,-659.754,-145.217,-1564.629,1,"KelliiWood",135,"N/A",2022,1,20,"Line",NA,NA,NA,NA,"halibut","halibut",200,200,22,NA,NA,NA,"NO LENGTH - wrong direction",NA
"23","SL_2022_CSEO_Dive_01_08-41-43.000.avi",34160,"9:34:57",NA,NA,191.169,8.841,4.694,1960.636,10.061,18.643,11.555,-21.842,341.827,-1930.485,1,"KelliiWood",135,"N/A",2022,1,20,"Line",NA,NA,NA,NA,"halibut","halibut",200,200,23,NA,NA,NA,"",NA
"24","SL_2022_CSEO_Dive_01_08-41-43.000.avi",34864,"9:35:20",NA,NA,299.668,21.425,1.443,2195.026,19.372,42.052,22.249,-700.063,200.1,-2070.751,1,"KelliiWood",135,"N/A",2022,1,20,"Line",NA,NA,NA,NA,"halibut","halibut",200,200,24,NA,NA,NA,"",NA
"25","SL_2022_CSEO_Dive_01_08-41-43.000.avi",43010,"9:39:52",NA,NA,NA,29.931,1.551,3808.326,12.649,NA,NA,44.69,817.853,-3719.203,1,"KelliiWood",135,"N/A",2022,1,20,"Line",NA,NA,NA,NA,"rockfish","redbanded",153,153,25,NA,NA,NA,"",NA
"26","SL_2022_CSEO_Dive_01_08-41-43.000.avi",43010,"9:39:52",NA,NA,NA,15.128,1.216,2707.092,8.53,NA,NA,307.003,248.09,-2678.162,1,"KelliiWood",135,"N/A",2022,1,20,"Line",NA,NA,NA,NA,"rockfish","redbanded",153,153,26,NA,NA,NA,"",NA
"27","SL_2022_CSEO_Dive_01_08-41-43.000.avi",43940,"9:40:23",NA,NA,291.872,10.589,0.346,2214.053,7.054,17.062,11.242,-31.545,270.055,-2197.296,1,"KelliiWood",135,"N/A",2022,1,20,"Line",NA,NA,NA,NA,"halibut","halibut",200,200,27,NA,NA,NA,"",NA
"28","SL_2022_CSEO_Dive_01_08-41-43.000.avi",44166,"9:40:30",NA,NA,NA,8.651,0.437,1975.298,23.313,NA,NA,781.554,8.88,-1814.083,1,"KelliiWood",135,"N/A",2022,1,20,"Line",NA,NA,NA,NA,"halibut","halibut",200,200,28,NA,NA,NA,"NO LENGTH - wrong direction",NA
"29","SL_2022_CSEO_Dive_01_08-41-43.000.avi",44756,"9:40:50",NA,NA,NA,9.956,0.656,2138.306,28.394,NA,NA,-1012.172,89.799,-1881.435,1,"KelliiWood",135,"N/A",2022,1,20,"Line",NA,NA,NA,NA,"halibut","halibut",200,200,29,NA,NA,NA,"NO LENGTH - wrong direction",NA
"30","SL_2022_CSEO_Dive_01_08-41-43.000.avi",46081,"9:41:34",NA,NA,274.456,15.535,1.6,2187.145,17.746,23.147,11.847,636.463,198.298,-2083.074,1,"KelliiWood",135,"N/A",2022,1,20,"Line",NA,NA,NA,NA,"halibut","halibut",200,200,30,NA,NA,NA,"",NA
"31","SL_2022_CSEO_Dive_01_08-41-43.000.avi",47178,"9:42:11",NA,NA,NA,5.383,0.141,1519.767,16.462,NA,NA,-320.082,-293.965,-1456.305,1,"KelliiWood",135,"N/A",2022,1,20,"Line",NA,NA,NA,NA,"halibut","halibut",200,200,31,NA,NA,NA,"NO LENGTH - wrong direction",NA
"32","SL_2022_CSEO_Dive_01_08-41-43.000.avi",49490,"9:43:28",NA,NA,NA,9.55,0.695,2102.549,28.39,NA,NA,993.611,102.78,-1850.105,1,"KelliiWood",135,"N/A",2022,1,20,"Line",NA,NA,NA,NA,"halibut","halibut",200,200,32,NA,NA,NA,"Partial view only",NA
"33","SL_2022_CSEO_Dive_01_08-41-43.000.avi",50511,"9:44:02",NA,NA,NA,15.612,0.055,2597.963,21.97,NA,NA,-915.868,315.718,-2410.585,1,"KelliiWood",135,"N/A",2022,1,20,"Line",NA,NA,NA,NA,"crab","box crab",900,900,33,NA,NA,NA,"",NA
"34","SL_2022_CSEO_Dive_01_08-41-43.000.avi",52696,"9:45:15",NA,NA,NA,6.009,3.199,1723.559,5.48,NA,NA,-94.509,127.896,-1716.207,1,"KelliiWood",135,"N/A",2022,1,20,"Line",NA,NA,NA,NA,"halibut","halibut",200,200,34,NA,NA,NA,"NO LENGTH - wrong direction",NA
"35","SL_2022_CSEO_Dive_01_08-41-43.000.avi",53518,"9:45:42",NA,NA,NA,23.804,0.713,3321.372,14.884,NA,NA,227.327,809.438,-3213.199,1,"KelliiWood",135,"N/A",2022,1,20,"Line",NA,NA,NA,NA,"crab","box crab",900,900,35,NA,NA,NA,"",NA
"36","SL_2022_CSEO_Dive_01_08-41-43.000.avi",53518,"9:45:42",NA,NA,NA,28.448,0.809,3486.214,27.004,NA,NA,-1432.106,661.868,-3108.808,1,"KelliiWood",135,"N/A",2022,1,20,"Line",NA,NA,NA,NA,"halibut","halibut",200,200,36,NA,NA,NA,"NO LENGTH - wrong direction",NA
"37","SL_2022_CSEO_Dive_01_08-41-43.000.avi",54209,"9:46:05",NA,NA,NA,11.488,1.438,2277.823,15.165,NA,NA,-566.501,175.93,-2199.228,1,"KelliiWood",135,"N/A",2022,1,20,"Line",NA,NA,NA,NA,"halibut","halibut",200,200,37,NA,NA,NA,"NO LENGTH - wrong direction",NA
"38","SL_2022_CSEO_Dive_01_08-41-43.000.avi",54978,"9:46:31",NA,NA,303.387,13.884,1.351,2137.309,12.573,24.867,21.718,-403.621,231.381,-2086.059,1,"KelliiWood",135,"N/A",2022,1,20,"Line",NA,NA,NA,NA,"halibut","halibut",200,200,38,NA,NA,NA,"",NA
"39","SL_2022_CSEO_Dive_01_08-41-43.000.avi",55365,"9:46:44",NA,NA,NA,12.538,4.121,2349.836,26.898,NA,NA,-1029.527,256.565,-2096.659,1,"KelliiWood",135,"N/A",2022,1,20,"Line",NA,NA,NA,NA,"halibut","halibut",200,200,39,NA,NA,NA,"NO LENGTH - wrong direction",NA
"40","SL_2022_CSEO_Dive_01_08-41-43.000.avi",55890,"9:47:01",NA,NA,NA,7.059,1.304,1875.382,5.569,NA,NA,81.851,155.064,-1867.167,1,"KelliiWood",135,"N/A",2022,1,20,"Line",NA,NA,NA,NA,"halibut","halibut",200,200,40,NA,NA,NA,"NO LENGTH - wrong direction",NA
"41","SL_2022_CSEO_Dive_01_08-41-43.000.avi",56117,"9:47:09",NA,NA,NA,13.741,0.042,2558.819,10.469,NA,NA,-181.295,418.061,-2517.918,1,"KelliiWood",135,"N/A",2022,1,20,"Line",NA,NA,NA,NA,"halibut","halibut",200,200,41,NA,NA,NA,"NO LENGTH - wrong direction",NA
"42","SL_2022_CSEO_Dive_01_08-41-43.000.avi",56117,"9:47:09",NA,NA,NA,12.424,0.06,2399.027,30.447,NA,NA,-1196.128,208.863,-2069.054,1,"KelliiWood",135,"N/A",2022,1,20,"Line",NA,NA,NA,NA,"halibut","halibut",200,200,42,NA,NA,NA,"NO LENGTH - wrong direction",NA
"43","SL_2022_CSEO_Dive_01_08-41-43.000.avi",56873,"9:47:34",NA,NA,NA,7.658,0.044,1953.898,5.537,NA,NA,126.776,131.759,-1945.324,1,"KelliiWood",135,"N/A",2022,1,20,"Line",NA,NA,NA,NA,"halibut","halibut",200,200,43,NA,NA,NA,"NO LENGTH - wrong direction",NA
"44","SL_2022_CSEO_Dive_01_08-41-43.000.avi",59258,"9:48:53",NA,NA,NA,8.705,0.252,1972.554,18.098,NA,NA,-604.208,94.601,-1875.354,1,"KelliiWood",135,"N/A",2022,1,20,"Line",NA,NA,NA,NA,"halibut","halibut",200,200,44,NA,NA,NA,"NO LENGTH - wrong direction",NA
"45","SL_2022_CSEO_Dive_01_08-41-43.000.avi",60140,"9:49:23",NA,NA,NA,8.651,0.437,1992.737,12.829,NA,NA,-416.74,140.898,-1943.573,1,"KelliiWood",135,"N/A",2022,1,20,"Line",NA,NA,NA,NA,"halibut","halibut",200,200,45,NA,NA,NA,"NO LENGTH - wrong direction",NA
"46","SL_2022_CSEO_Dive_01_08-41-43.000.avi",60654,"9:49:40",NA,NA,237.331,13.199,1.978,2112.314,25.813,3.702,5.954,-916.99,71.655,-1901.543,1,"KelliiWood",135,"N/A",2022,1,20,"Line",NA,NA,NA,NA,"halibut","halibut",200,200,46,NA,NA,NA,"",NA
"47","SL_2022_CSEO_Dive_01_08-41-43.000.avi",62161,"9:50:30",NA,NA,NA,4.102,0.451,1415.047,4.302,NA,NA,15.896,-110.6,-1410.629,1,"KelliiWood",135,"N/A",2022,1,20,"Line",NA,NA,NA,NA,"flatfish","rex sole",125,125,47,NA,NA,NA,"",NA
"48","SL_2022_CSEO_Dive_01_08-41-43.000.avi",64160,"9:51:37",NA,NA,368.918,17.439,1.244,1932.742,24.763,48.764,22.096,-809.565,-2.55,-1755.019,1,"KelliiWood",135,"N/A",2022,1,20,"Line",NA,NA,NA,NA,"halibut","halibut",200,200,48,NA,NA,NA,"",NA
"49","SL_2022_CSEO_Dive_01_08-41-43.000.avi",70315,"9:55:02",NA,NA,307.781,13.525,0.285,1926.696,16.472,29.234,16.803,541.716,70.677,-1847.622,1,"KelliiWood",135,"N/A",2022,1,20,"Line",NA,NA,NA,NA,"halibut","halibut",200,200,49,NA,NA,NA,"",NA
"50","SL_2022_CSEO_Dive_01_08-41-43.000.avi",70639,"9:55:13",NA,NA,NA,11.748,0.209,2367.844,11.004,NA,NA,-113.009,428.303,-2326.042,1,"KelliiWood",135,"N/A",2022,1,20,"Line",NA,NA,NA,NA,"crab","box crab",900,900,50,NA,NA,NA,"",NA
"51","SL_2022_CSEO_Dive_01_08-41-43.000.avi",75892,"9:58:08",NA,NA,322.729,19.462,0.919,1833.762,13.008,63.509,25.935,402.623,-90.849,-1786.707,1,"KelliiWood",135,"N/A",2022,1,20,"Line",NA,NA,NA,NA,"halibut","halibut",200,200,51,NA,NA,NA,"",NA
"52","SL_2022_CSEO_Dive_01_08-41-43.000.avi",76662,"9:58:33",NA,NA,NA,31.565,3.19,3646.467,28.771,NA,NA,-1399.049,1046.887,-3200.533,1,"KelliiWood",135,"N/A",2022,1,20,"Line",NA,NA,NA,NA,"cod","Pacific tomcod",250,250,52,NA,NA,NA,"",NA
"53","SL_2022_CSEO_Dive_02_11-04-25.000.avi",286,"11:18:10",NA,NA,NA,46.28,0.264,4408.749,24.73,NA,NA,1428.355,1150.815,-4009.051,1,"KelliiWood",125,"N/A",2022,2,19,"Line",NA,NA,NA,NA,"rockfish","canary",146,146,1,"","",NA,"",NA
"54","SL_2022_CSEO_Dive_02_11-04-25.000.avi",2576,"11:19:26",NA,NA,NA,48.624,1.682,4693.158,20.124,NA,NA,-339.628,1560.91,-4412.929,1,"KelliiWood",125,"N/A",2022,2,19,"Line",NA,NA,NA,NA,"rockfish","canary",146,146,2,"","",NA,"",NA
"55","SL_2022_CSEO_Dive_02_11-04-25.000.avi",4034,"11:20:14",NA,NA,NA,51.429,0.873,4808.424,30.542,NA,NA,-2318.292,755.592,-4144.339,1,"KelliiWood",125,"N/A",2022,2,19,"Line",NA,NA,NA,NA,"rockfish","rosethorn",150,150,3,"","",NA,"",NA
"56","SL_2022_CSEO_Dive_02_11-04-25.000.avi",6135,"11:21:24",NA,NA,NA,24.372,1.481,3233.687,28.841,NA,NA,-1385.669,704.946,-2835.437,1,"KelliiWood",125,"N/A",2022,2,19,"Line",NA,NA,NA,NA,"rockfish","canary",146,146,4,"","",NA,"",NA
"57","SL_2022_CSEO_Dive_02_11-04-25.000.avi",10123,"11:23:37",NA,NA,NA,5.399,0.338,1528.818,24.45,NA,NA,609.756,-174.672,-1391.033,1,"KelliiWood",125,"N/A",2022,2,19,"Line",NA,NA,NA,NA,"halibut","halibut",200,200,5,"","",NA,"NO LENGTH - Wrong direction",NA
"58","SL_2022_CSEO_Dive_02_11-04-25.000.avi",11484,"11:24:23",NA,NA,NA,6.517,2.035,1749.805,9.406,NA,NA,-218.899,177.125,-1727,1,"KelliiWood",125,"N/A",2022,2,19,"Line",NA,NA,NA,NA,"cod","Pacific tomcod",250,250,6,"","",NA,"",NA
"59","SL_2022_CSEO_Dive_02_11-04-25.000.avi",11740,"11:24:31",NA,NA,NA,44.39,0.922,4336.137,26.976,NA,NA,1639.756,1070.809,-3868.676,1,"KelliiWood",125,"N/A",2022,2,19,"Line",NA,NA,NA,NA,"rockfish","rosethorn",150,150,7,"","",NA,"",NA
"60","SL_2022_CSEO_Dive_02_11-04-25.000.avi",15764,"11:26:45",NA,NA,NA,26.792,0.709,3434.841,27.023,NA,NA,-1503.751,405.094,-3061.497,1,"KelliiWood",125,"N/A",2022,2,19,"Line",NA,NA,NA,NA,"rockfish","dusky",172,172,8,"","",NA,"",NA
"61","SL_2022_CSEO_Dive_02_11-04-25.000.avi",16143,"11:26:58",NA,NA,NA,40.656,2.494,4518.89,7.831,NA,NA,592.758,148.592,-4477.38,1,"KelliiWood",125,"N/A",2022,2,19,"Line",NA,NA,NA,NA,"rockfish","canary",146,146,9,"","",NA,"",NA
"62","SL_2022_CSEO_Dive_02_11-04-25.000.avi",17556,"11:27:45",NA,NA,NA,26.568,0.097,3373.543,28.002,NA,NA,-1424.367,680.759,-2981.366,1,"KelliiWood",125,"N/A",2022,2,19,"Line",NA,NA,NA,NA,"rockfish","rosethorn",150,150,10,"","",NA,"",NA
"63","SL_2022_CSEO_Dive_02_11-04-25.000.avi",18763,"11:28:25",NA,NA,NA,35.547,1.434,4035.819,31.589,NA,NA,1980.766,725.059,-3440.74,1,"KelliiWood",125,"N/A",2022,2,19,"Line",NA,NA,NA,NA,"rockfish","quillback",147,147,11,"","",NA,"",NA
"64","SL_2022_CSEO_Dive_02_11-04-25.000.avi",19432,"11:28:48",NA,NA,NA,55.129,1.018,4972.87,20.667,NA,NA,449.24,1678.025,-4659.598,1,"KelliiWood",125,"N/A",2022,2,19,"Line",NA,NA,NA,NA,"rockfish","silvergray",157,157,12,"","",NA,"",NA
"65","SL_2022_CSEO_Dive_02_11-04-25.000.avi",19723,"11:28:57",NA,NA,521.523,33.488,2.02,3252.208,16.098,29.909,29.83,-271.073,860.088,-3124.68,1,"KelliiWood",125,"N/A",2022,2,19,"Line",NA,NA,NA,NA,"rockfish","yelloweye",145,145,13,"AD","Fish milling/hovering",NA,"",NA
"66","SL_2022_CSEO_Dive_02_11-04-25.000.avi",19736,"11:28:58",NA,NA,NA,6.924,1.375,1720.269,24.366,NA,NA,282.655,-657.262,-1564.429,1,"KelliiWood",125,"N/A",2022,2,19,"Line",NA,NA,NA,NA,"rockfish","silvergray",157,157,14,"","",NA,"",NA
"67","SL_2022_CSEO_Dive_02_11-04-25.000.avi",20043,"11:29:08",NA,NA,NA,73.361,5.739,5573.926,30.507,NA,NA,-1853.794,2118.481,-4810.835,1,"KelliiWood",125,"N/A",2022,2,19,"Line",NA,NA,NA,NA,"rockfish","canary",146,146,15,"","",NA,"",NA
"68","SL_2022_CSEO_Dive_02_11-04-25.000.avi",26728,"11:32:51",NA,NA,NA,50.162,2.497,4829.779,33.025,NA,NA,-2474.642,880.899,-4053.015,1,"KelliiWood",125,"N/A",2022,2,19,"Line",NA,NA,NA,NA,"rockfish","rosethorn",150,150,16,"","",NA,"",NA
"69","SL_2022_CSEO_Dive_02_11-04-25.000.avi",28023,"11:33:34",NA,NA,NA,5.055,0.204,1473.854,19.373,NA,NA,-465.184,-156.005,-1389.789,1,"KelliiWood",125,"N/A",2022,2,19,"Line",NA,NA,NA,NA,"rockfish","rosethorn",150,150,17,"","",NA,"",NA
"70","SL_2022_CSEO_Dive_02_11-04-25.000.avi",30821,"11:35:07",NA,NA,NA,15.795,0.052,2723.646,32.738,NA,NA,1390.503,476.699,-2292.925,1,"KelliiWood",125,"N/A",2022,2,19,"Line",NA,NA,NA,NA,"halibut","halibut",200,200,18,"","",NA,"NO LENGTH - wrong direction",NA
"71","SL_2022_CSEO_Dive_02_11-04-25.000.avi",34350,"11:37:05",NA,NA,NA,17.04,1.214,2796.983,12.663,NA,NA,512.553,325.542,-2730.279,1,"KelliiWood",125,"N/A",2022,2,19,"Line",NA,NA,NA,NA,"rockfish","quillback",147,147,19,"","",NA,"",NA
"72","SL_2022_CSEO_Dive_02_11-04-25.000.avi",34935,"11:37:25",NA,NA,NA,43.076,2.158,4311.887,26.959,NA,NA,-1816.689,706.327,-3846.181,1,"KelliiWood",125,"N/A",2022,2,19,"Line",NA,NA,NA,NA,"rockfish","rosethorn",150,150,20,"","",NA,"",NA
"73","SL_2022_CSEO_Dive_02_11-04-25.000.avi",35266,"11:37:36",NA,NA,NA,24.722,0.181,3253.208,21.142,NA,NA,1018.123,571.17,-3036.536,1,"KelliiWood",125,"N/A",2022,2,19,"Line",NA,NA,NA,NA,"rockfish","rosethorn",150,150,21,"","",NA,"",NA
"74","SL_2022_CSEO_Dive_02_11-04-25.000.avi",36524,"11:38:17",NA,NA,NA,29.549,0.169,3526.534,24.018,NA,NA,1149.85,846.292,-3224.605,1,"KelliiWood",125,"N/A",2022,2,19,"Line",NA,NA,NA,NA,"rockfish","greenstripe",135,135,22,"","",NA,"",NA
"75","SL_2022_CSEO_Dive_02_11-04-25.000.avi",37880,"11:39:03",NA,NA,NA,98.408,3.478,6437.435,23.887,NA,NA,2047.058,1590.328,-5892.451,1,"KelliiWood",125,"N/A",2022,2,19,"Line",NA,NA,NA,NA,"rockfish","quillback",147,147,23,"","",NA,"",NA
"76","SL_2022_CSEO_Dive_02_11-04-25.000.avi",40609,"11:40:34",NA,NA,NA,91.534,1.538,6271.2,19.455,NA,NA,1462.332,1467.766,-5919.053,1,"KelliiWood",125,"N/A",2022,2,19,"Line",NA,NA,NA,NA,"rockfish","rosethorn",150,150,24,"","",NA,"",NA
"77","SL_2022_CSEO_Dive_02_11-04-25.000.avi",43143,"11:41:58",NA,NA,NA,42.048,1.423,4290.991,23.017,NA,NA,563.289,1564.595,-3955.674,1,"KelliiWood",125,"N/A",2022,2,19,"Line",NA,NA,NA,NA,"rockfish","silvergray",157,157,25,"","",NA,"",NA
"78","SL_2022_CSEO_Dive_02_11-04-25.000.avi",43671,"11:42:16",NA,NA,696.544,288.317,6.684,7470.395,20.155,54.84,16.955,-35.584,2573.82,-7012.916,1,"KelliiWood",125,"N/A",2022,2,19,"Line",NA,NA,NA,NA,"rockfish","yelloweye",145,145,26,"AD","Fish milling/hovering",NA,"Gravid female?",NA
"79","SL_2022_CSEO_Dive_02_11-04-25.000.avi",43881,"11:42:23",NA,NA,NA,88.099,3.287,6232.157,18.177,NA,NA,-900.576,1699.211,-5928.021,1,"KelliiWood",125,"N/A",2022,2,19,"Line",NA,NA,NA,NA,"rockfish","rosethorn",150,150,27,"","",NA,"",NA
"80","SL_2022_CSEO_Dive_02_11-04-25.000.avi",44869,"11:42:56",NA,NA,NA,72.325,1.734,5519.673,25.597,NA,NA,-2040.615,1214.13,-4982.827,1,"KelliiWood",125,"N/A",2022,2,19,"Line",NA,NA,NA,NA,"rockfish","canary",146,146,28,"","",NA,"",NA
"81","SL_2022_CSEO_Dive_02_11-04-25.000.avi",46817,"11:44:01",NA,NA,NA,39.299,3.226,4298.501,15.445,NA,NA,179.281,1114.013,-4147.764,1,"KelliiWood",125,"N/A",2022,2,19,"Line",NA,NA,NA,NA,"rockfish","rosethorn",150,150,29,"","",NA,"",NA
"82","SL_2022_CSEO_Dive_02_11-04-25.000.avi",47679,"11:44:29",NA,NA,NA,67.352,1.16,5372.66,29.393,NA,NA,2174.338,1472.976,-4687.01,1,"KelliiWood",125,"N/A",2022,2,19,"Line",NA,NA,NA,NA,"rockfish","rosethorn",150,150,30,"","",NA,"",NA
"83","SL_2022_CSEO_Dive_02_11-04-25.000.avi",48449,"11:44:55",NA,NA,NA,8.767,0.409,2141.892,1.805,NA,NA,-9.103,58.275,-2141.08,1,"KelliiWood",125,"N/A",2022,2,19,"Line",NA,NA,NA,NA,"halibut","halibut",200,200,31,"","",NA,"NO LENGTH - wrong angle",NA
