"","Filename","Frame","Time..HMS.","Period","Period.time..HMS.","Length..mm.","Precision..mm.","RMS.1..mm.","RMS.2..mm.","Range..mm.","Direction..deg.","Horz..Dir...deg.","Vert..Dir...deg.","Mid.X..mm.","Mid.Y..mm.","Mid.Z..mm.","OpCode","Tape.Reader","Depth","Comment","Year","Dive.No","Transect.No","User.Def..4","User.Def..5","User.Def..6","User.Def..7","User.Def..8","Family","Genus","Species","Code","Number","Stage","Activity","Check.ID","Comment.1","Event.Time","Time..mins.","Period.time..mins."
"16","Dive1__Camera 1_08-31-25.456_fixed.avi",56264,"02:45.5",NA,NA,NA,62.801,3.283,NA,4784.336,23.79,NA,NA,-1915.616,172.02,-4380.719,1,"Jenny Stahl",0,"new cameras, AKST",2013,1,1,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,15,"","","","","",NA,NA
"17","Dive1__Camera 1_08-31-25.456_fixed.avi",62359,"06:08.6",NA,NA,NA,27.827,1.301,NA,3163.947,26.01,NA,NA,1386.242,-99.443,-2842.359,1,"Jenny Stahl",0,"new cameras, AKST",2013,1,1,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,16,"","","","","",NA,NA
"18","Dive1__Camera 1_08-31-25.456_fixed.avi",62922,"06:27.4",NA,NA,NA,25.614,2.642,NA,2977.495,17.561,NA,NA,-835.328,-371.337,-2833.692,1,"Jenny Stahl",0,"new cameras, AKST",2013,1,1,NA,NA,NA,NA,NA,"rockfish","silvergray",157,157,17,"","","","","",NA,NA
"19","Dive1__Camera 1_08-31-25.456_fixed.avi",64605,"07:23.5",NA,NA,NA,13.97,1.185,NA,2155.656,29.853,NA,NA,746.653,-797.394,-1858.367,1,"Jenny Stahl",0,"new cameras, AKST",2013,1,1,NA,NA,NA,NA,NA,"rockfish","greenstripe",135,135,18,"","","","","",NA,NA
"20","Dive1__Camera 1_08-31-25.456_fixed.avi",66344,"08:21.5",NA,NA,NA,19.611,5.781,NA,2624.716,24.088,NA,NA,-1060.246,-187.486,-2393.713,1,"Jenny Stahl",0,"new cameras, AKST",2013,1,1,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,19,"","","","","",NA,NA
"21","Dive1__Camera 1_08-31-25.456_fixed.avi",66660,"08:32.0",NA,NA,NA,31.876,9.191,NA,3562.405,35.742,NA,NA,2080.628,-77.848,-2890.615,1,"Jenny Stahl",0,"new cameras, AKST",2013,1,1,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,20,"","","","","",NA,NA
"22","Dive1__Camera 1_08-31-25.456_fixed.avi",72145,"11:34.8",NA,NA,NA,20.192,1.884,NA,2721.429,28.383,NA,NA,-1286.519,101.438,-2395.987,1,"Jenny Stahl",0,"new cameras, AKST",2013,1,1,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,21,"","","","","",NA,NA
"23","Dive1__Camera 1_08-31-25.456_fixed.avi",74395,"12:49.8",NA,NA,NA,9.563,21.551,NA,1784.964,29.102,NA,NA,-551.624,-692.643,-1549.856,1,"Jenny Stahl",0,"new cameras, AKST",2013,1,1,NA,NA,NA,NA,NA,"rockfish","sharpchin",166,166,22,"","","","","",NA,NA
"24","Dive1__Camera 1_08-31-25.456_fixed.avi",75060,"13:12.0",NA,NA,NA,11.977,2.702,NA,2009.192,29.708,NA,NA,888.055,-475.314,-1738.473,1,"Jenny Stahl",0,"new cameras, AKST",2013,1,1,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,23,"","","","","",NA,NA
"25","Dive1__Camera 1_08-31-25.456_fixed.avi",83657,"17:58.6",NA,NA,NA,129.865,2.578,NA,7138.07,9.834,NA,NA,-1193.754,146.671,-7036.013,1,"Jenny Stahl",0,"new cameras, AKST",2013,1,1,NA,NA,NA,NA,NA,"rockfish","yelloweye",145,145,24,"AD","milling/hovering","","","",NA,NA
"26","Dive1__Camera 1_08-31-25.456_fixed.avi",83707,"18:00.2",NA,NA,543.579,78.944,5.413,2.329,6052.008,13.365,1.894,3.67,-1395.344,-184.991,-5886.051,1,"Jenny Stahl",0,"new cameras, AKST",2013,1,1,NA,NA,NA,NA,NA,"rockfish","yelloweye",145,145,24,"AD","","","","",NA,NA
"27","Dive1__Camera 1_08-31-25.456_fixed.avi",83925,"18:07.5",NA,NA,NA,89.799,3.228,NA,5538.743,29.705,NA,NA,-2486.291,-1231.403,-4793.712,1,"Jenny Stahl",0,"new cameras, AKST",2013,1,1,NA,NA,NA,NA,NA,"greenling","lingcod",130,130,25,"","","","No length- too dark","",NA,NA
"28","Dive3__Camera 1_08-20-13_10-34-53.322_fixed.avi",2174,"45:29.5",NA,NA,NA,15.436,2.018,NA,2308.487,34.063,NA,NA,-908.259,-947.584,-1899.016,1,"Jenny Stahl",0,"new cameras, AKST",2013,3,1,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,1,"","","","","",NA,NA
"29","Dive3__Camera 1_08-20-13_10-34-53.322_fixed.avi",7067,"48:12.6",NA,NA,NA,23.396,1.363,NA,2784.028,23.896,NA,NA,-781.159,-849.768,-2533.475,1,"Jenny Stahl",0,"new cameras, AKST",2013,3,1,NA,NA,NA,NA,NA,"cod","",9991,9991,24,"","","","Not Pcod; reddish coloration","",NA,NA
"30","Dive3__Camera 1_08-20-13_10-34-53.322_fixed.avi",7106,"48:13.9",NA,NA,NA,18.186,0.682,NA,2568.921,26.314,NA,NA,-113.632,-1165.992,-2286.243,1,"Jenny Stahl",0,"new cameras, AKST",2013,3,1,NA,NA,NA,NA,NA,"cod","",9991,9991,2,"","","","Not Pcod, reddish coloration","",NA,NA
"31","Dive3__Camera 1_08-20-13_10-34-53.322_fixed.avi",9076,"49:19.5",NA,NA,NA,16.676,3.972,NA,2368.837,20.833,NA,NA,754.793,-405.887,-2208.378,1,"Jenny Stahl",0,"new cameras, AKST",2013,3,1,NA,NA,NA,NA,NA,"flatfish","Dover sole",124,124,3,"","","","","",NA,NA
"32","Dive3__Camera 1_08-20-13_10-34-53.322_fixed.avi",39450,"06:12.0",NA,NA,NA,33.768,1.13,NA,3544.48,29.195,NA,NA,-1722.771,101.851,-3095.969,1,"Jenny Stahl",0,"new cameras, AKST",2013,3,1,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,4,"","","","","",NA,NA
"33","Dive3__Camera 1_08-20-13_10-34-53.322_fixed.avi",44922,"09:14.4",NA,NA,NA,92.48,7.696,NA,5564.398,24.969,NA,NA,-1898.754,1310.348,-5063.62,1,"Jenny Stahl",0,"new cameras, AKST",2013,3,1,NA,NA,NA,NA,NA,"ratfish","ratfish",714,714,5,"","","","","",NA,NA
"34","Dive3__Camera 1_08-20-13_10-34-53.322_fixed.avi",44923,"09:14.4",NA,NA,NA,98.258,4.48,NA,5774.521,31.443,NA,NA,2577.037,1488.924,-4948.442,1,"Jenny Stahl",0,"new cameras, AKST",2013,3,1,NA,NA,NA,NA,NA,"halibut","halibut",200,200,6,"","","","No length-too dark to measure","",NA,NA
"35","Dive3__Camera 1_08-20-13_10-34-53.322_fixed.avi",53321,"13:54.4",NA,NA,NA,25.961,7.819,NA,3013.325,19.989,NA,NA,-313.297,-1021.751,-2817.445,1,"Jenny Stahl",0,"new cameras, AKST",2013,3,1,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,7,"","","","","",NA,NA
"36","Dive3__Camera 1_08-20-13_10-34-53.322_fixed.avi",54137,"14:21.6",NA,NA,NA,41.419,8.567,NA,4020.072,9.197,NA,NA,-219.677,546.836,-3976.644,1,"Jenny Stahl",0,"new cameras, AKST",2013,3,1,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,8,"","","","","",NA,NA
"37","Dive3__Camera 1_08-20-13_10-34-53.322_fixed.avi",57363,"16:09.1",NA,NA,NA,30.753,2.925,NA,3198.088,28.453,NA,NA,-1129.64,-1062.726,-2796.836,1,"Jenny Stahl",0,"new cameras, AKST",2013,3,1,NA,NA,NA,NA,NA,"cod","",9991,9991,9,"","","","","",NA,NA
"38","Dive3__Camera 1_08-20-13_10-34-53.322_fixed.avi",60099,"17:40.3",NA,NA,NA,16.441,0.521,NA,2343.002,21.536,NA,NA,-534.574,-704.957,-2169.545,1,"Jenny Stahl",0,"new cameras, AKST",2013,3,1,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,10,"","","","","",NA,NA
"39","Dive3__Camera 1_08-20-13_10-34-53.322_fixed.avi",61344,"18:21.8",NA,NA,NA,123.186,5.975,NA,6991.089,9.367,NA,NA,-223.511,1016.714,-6913.152,1,"Jenny Stahl",0,"new cameras, AKST",2013,3,1,NA,NA,NA,NA,NA,"rockfish","yelloweye",145,145,11,"AD","fish seeking cover","","No length-fish curved","",NA,NA
"40","Dive3__Camera 1_08-20-13_10-34-53.322_fixed.avi",63862,"19:45.7",NA,NA,NA,10.127,1.2,NA,1895.436,28.132,NA,NA,-185.164,-898.195,-1658.806,1,"Jenny Stahl",0,"new cameras, AKST",2013,3,1,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,12,"","","","","",NA,NA
"41","Dive3__Camera 1_08-20-13_10-34-53.322_fixed.avi",69426,"22:51.2",NA,NA,NA,6.354,1.612,NA,1506.602,25.778,NA,NA,14.657,-674.411,-1347.147,1,"Jenny Stahl",0,"new cameras, AKST",2013,3,1,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,13,"","","","","",NA,NA
"42","Dive3__Camera 1_08-20-13_10-34-53.322_fixed.avi",82643,"30:11.8",NA,NA,NA,26.427,2.579,NA,2978.661,20.648,NA,NA,-887.831,-601.173,-2778.987,1,"Jenny Stahl",0,"new cameras, AKST",2013,3,1,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,14,"","","","","",NA,NA
"43","Dive3__Camera 1_08-20-13_10-34-53.322_fixed.avi",83516,"30:40.9",NA,NA,NA,195.501,2.866,NA,8091.407,31.131,NA,NA,3310.71,2457.554,-6962.076,1,"Jenny Stahl",0,"new cameras, AKST",2013,3,1,NA,NA,NA,NA,NA,"rockfish","yelloweye",145,145,15,"AD","milling","","","",NA,NA
"44","Dive3__Camera 1_08-20-13_10-34-53.322_fixed.avi",83640,"30:45.0",NA,NA,676.113,104.678,8.736,2.926,5007.385,34.063,7.952,6.28,2682.969,757.604,-4159.522,1,"Jenny Stahl",0,"new cameras, AKST",2013,3,1,NA,NA,NA,NA,NA,"rockfish","yelloweye",145,145,15,"AD","","","","",NA,NA
"45","Dive3__Camera 1_08-20-13_10-34-53.322_fixed.avi",83689,"30:46.6",NA,NA,NA,212.975,6.173,NA,8417.302,25.222,NA,NA,2260.485,2675.398,-7653.982,1,"Jenny Stahl",0,"new cameras, AKST",2013,3,1,NA,NA,NA,NA,NA,"greenling","lingcod",130,130,16,"","","","No length; Too dark to measure","",NA,NA
"46","Dive3__Camera 1_08-20-13_10-34-53.322_fixed.avi",93579,"36:16.3",NA,NA,NA,41.325,4.278,NA,3950.262,33.188,NA,NA,-2150.19,-276.248,-3302.263,1,"Jenny Stahl",0,"new cameras, AKST",2013,3,1,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,17,"","","","","",NA,NA
"47","Dive3__Camera 1_08-20-13_10-34-53.322_fixed.avi",94394,"36:43.5",NA,NA,NA,13.149,2.185,NA,2138.196,34.716,NA,NA,-831.833,-914.441,-1744.631,1,"Jenny Stahl",0,"new cameras, AKST",2013,3,1,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,18,"","","","","",NA,NA
"48","Dive3__Camera 1_08-20-13_10-34-53.322_fixed.avi",97479,"38:26.3",NA,NA,NA,32.964,2.091,NA,3405.205,20.605,NA,NA,-1181.507,-246.065,-3184.166,1,"Jenny Stahl",0,"new cameras, AKST",2013,3,1,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,19,"","","","","",NA,NA
"49","Dive3__Camera 1_08-20-13_10-34-53.322_fixed.avi",100048,"39:51.9",NA,NA,NA,17.105,3.32,NA,2379.106,25.836,NA,NA,655.809,-833.658,-2129.571,1,"Jenny Stahl",0,"new cameras, AKST",2013,3,1,NA,NA,NA,NA,NA,"flatfish","Dover sole",124,124,20,"","","","","",NA,NA
"50","Dive3__Camera 1_08-20-13_10-34-53.322_fixed.avi",101179,"40:29.6",NA,NA,NA,26.197,0.557,NA,3065.837,30.217,NA,NA,1525.322,-270.712,-2645.651,1,"Jenny Stahl",0,"new cameras, AKST",2013,3,1,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,21,"","","","","",NA,NA
"51","Dive3__Camera 1_08-20-13_10-34-53.322_fixed.avi",102158,"41:02.3",NA,NA,NA,15.155,2.485,NA,2243.911,28.657,NA,NA,-803.662,-743.795,-1958.58,1,"Jenny Stahl",0,"new cameras, AKST",2013,3,1,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,22,"","","","","",NA,NA
"52","Dive3__Camera 1_08-20-13_10-34-53.322_fixed.avi",112547,"46:48.6",NA,NA,NA,14.714,2.778,NA,2333.966,8.797,NA,NA,282.706,-250.971,-2303.147,1,"Jenny Stahl",0,"new cameras, AKST",2013,3,1,NA,NA,NA,NA,NA,"rockfish","silvergray",157,157,23,"","","","","",NA,NA
"53","2013_4_1_SL.avi",11004,"08:22.3",NA,NA,NA,20.923,26.637,NA,3284.327,20.208,NA,NA,503.403,-1051.022,-3070.626,1,"Kristen Green",0,"old cameras",2013,4,1,NA,NA,NA,NA,NA,"cod","Pacific cod",110,110,1,"","","","","",NA,NA
"54","2013_4_1_SL.avi",16205,"11:15.8",NA,NA,NA,6.16,1.598,NA,1786.601,13.459,NA,NA,188.685,-389.918,-1733.294,1,"Kristen Green",0,"old cameras",2013,4,1,NA,NA,NA,NA,NA,"greenling","lingcod",130,130,2,"","","","fish curled no length ","",NA,NA
"55","2013_4_1_SL.avi",31004,"19:29.6",NA,NA,NA,18.628,3.454,NA,2994.785,21.873,NA,NA,-1092.974,-255.094,-2776.521,1,"Kristen Green",0,"old cameras",2013,4,1,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,3,"","","","","",NA,NA
"56","2013_4_1_SL.avi",32710,"20:26.5",NA,NA,NA,149.43,0.267,NA,9023.764,17.801,NA,NA,1526.467,2201.925,-8616.829,1,"Kristen Green",0,"old cameras",2013,4,1,NA,NA,NA,NA,NA,"rockfish","yelloweye",145,145,4,"AD","actively swimming within frame","","","",NA,NA
"57","2013_4_1_SL.avi",32933,"20:34.0",NA,NA,457.913,64.603,1.765,2.405,5527.218,12.72,20.468,5.233,-817.336,841.558,-5401.286,1,"Kristen Green",0,"old cameras",2013,4,1,NA,NA,NA,NA,NA,"rockfish","yelloweye",145,145,4,"AD","","","","",NA,NA
"58","2013_4_1_SL.avi",34294,"21:19.4",NA,NA,NA,9.086,4.08,NA,2200.339,13.541,NA,NA,-281.688,-455.17,-2134.236,1,"Kristen Green",0,"old cameras",2013,4,1,NA,NA,NA,NA,NA,"rockfish","silvergray",157,157,5,"","","","","",NA,NA
"59","2013_4_1_SL.avi",38655,"23:44.9",NA,NA,NA,24.846,8.731,NA,3426.015,23.522,NA,NA,-1338.512,-314.121,-3138.04,1,"Kristen Green",0,"old cameras",2013,4,1,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,6,"","","","","",NA,NA
"60","2013_4_1_SL.avi",40966,"25:02.0",NA,NA,NA,17.035,4.235,NA,3049.084,13.525,NA,NA,427.211,-603.932,-2957.984,1,"Kristen Green",0,"old cameras",2013,4,1,NA,NA,NA,NA,NA,"rockfish","yelloweye",145,145,7,"AD","resting on bottom","","behind rock; no length ","",NA,NA
"61","2013_4_1_SL.avi",41316,"25:13.7",NA,NA,NA,21.18,9.535,NA,3583.721,8.003,NA,NA,495.913,15.2,-3549.21,1,"Kristen Green",0,"old cameras",2013,4,1,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,8,"","","","","",NA,NA
"62","2013_4_1_SL.avi",55473,"33:06.1",NA,NA,NA,29.74,6.007,NA,4144.39,12.183,NA,NA,-733.564,431.079,-4056.109,1,"Kristen Green",0,"old cameras",2013,4,1,NA,NA,NA,NA,NA,"rockfish","sharpchin",166,166,9,"","","","","",NA,NA
"63","2013_5_1_SL.avi",10954,"46:09.5",NA,NA,NA,11.28,0.742,NA,2480.176,12.118,NA,NA,-363.741,-399.537,-2420.607,1,"Jenny Stahl",0,"old cameras",2013,5,1,NA,NA,NA,NA,NA,"ratfish","ratfish",NA,NA,1,"","","","","",NA,NA
"64","2013_5_1_SL.avi",13916,"47:48.3",NA,NA,399.159,25.97,1.519,4.109,2407.436,23.223,59.585,29.965,-883.583,-371.675,-2208.367,1,"Jenny Stahl",0,"old cameras",2013,5,1,NA,NA,NA,NA,NA,"halibut","halibut",200,200,2,"","","","","",NA,NA
"65","2013_5_1_SL.avi",13917,"47:48.4",NA,NA,NA,12.801,2.138,NA,2504.173,19.474,NA,NA,-793.3,-286.418,-2357.864,1,"Jenny Stahl",0,"old cameras",2013,5,1,NA,NA,NA,NA,NA,"halibut","halibut",200,200,2,"","","","","",NA,NA
"66","2013_5_1_SL.avi",18461,"50:20.0",NA,NA,NA,19.962,4.046,NA,3179.278,19.548,NA,NA,-1060.562,-116.178,-2994.916,1,"Jenny Stahl",0,"old cameras",2013,5,1,NA,NA,NA,NA,NA,"ratfish","ratfish",NA,NA,3,"","","","","",NA,NA
"67","2013_5_1_SL.avi",22721,"52:42.1",NA,NA,NA,7.074,2.013,NA,1938.813,11.916,NA,NA,214.09,-359.374,-1893.148,1,"Jenny Stahl",0,"old cameras",2013,5,1,NA,NA,NA,NA,NA,"rockfish","greenstripe",NA,NA,4,"","","","","",NA,NA
"68","2013_5_1_SL.avi",24775,"53:50.7",NA,NA,NA,6.903,0.435,NA,1771.062,23.94,NA,NA,-536.994,-495.612,-1613.279,1,"Jenny Stahl",0,"old cameras",2013,5,1,NA,NA,NA,NA,NA,"flatfish","Dover sole",NA,NA,5,"","","","","",NA,NA
"69","2013_5_1_SL.avi",27300,"55:14.9",NA,NA,NA,14.781,1.846,NA,2913.389,9.883,NA,NA,-482.084,-164.886,-2868.491,1,"Jenny Stahl",0,"old cameras",2013,5,1,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,6,"","","","","",NA,NA
"70","2013_5_1_SL.avi",39532,"02:03.0",NA,NA,NA,18.76,7.208,NA,3358.247,7.41,NA,NA,-236.025,-400.249,-3325.945,1,"Jenny Stahl",0,"old cameras",2013,5,1,NA,NA,NA,NA,NA,"rockfish","",NA,NA,7,"","","","Bad Angle Can't Be Identified","",NA,NA
"71","2013_5_1_SL.avi",39870,"02:14.3",NA,NA,NA,15.251,3.105,NA,2959.532,11.651,NA,NA,63.285,-626.576,-2891.751,1,"Jenny Stahl",0,"old cameras",2013,5,1,NA,NA,NA,NA,NA,"rockfish","greenstripe",NA,NA,8,"","","","","",NA,NA
"72","2013_5_1_SL.avi",45028,"05:06.4",NA,NA,NA,14.859,2.711,NA,2887.967,12.073,NA,NA,-274.776,-569.354,-2817.923,1,"Jenny Stahl",0,"old cameras",2013,5,1,NA,NA,NA,NA,NA,"flatfish","Dover sole",NA,NA,9,"","","","","",NA,NA
"73","2013_5_1_SL.avi",47016,"06:12.8",NA,NA,NA,15.829,4.964,NA,2701.617,24.321,NA,NA,-1083.24,-281.515,-2458.876,1,"Jenny Stahl",0,"old cameras",2013,5,1,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,10,"","","","","",NA,NA
"74","2013_5_1_SL.avi",48136,"06:50.1",NA,NA,NA,9.541,4.548,NA,2084.094,23.897,NA,NA,-813.846,-245.758,-1902.815,1,"Jenny Stahl",0,"old cameras",2013,5,1,NA,NA,NA,NA,NA,"ratfish","ratfish",NA,NA,11,"","","","","",NA,NA
"75","2013_5_1_SL.avi",50970,"08:24.7",NA,NA,NA,17.453,7.937,NA,3251.837,7.402,NA,NA,-418.927,-31.528,-3224.585,1,"Jenny Stahl",0,"old cameras",2013,5,1,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,12,"","","","","",NA,NA
"76","2013_5_1_SL.avi",51599,"08:45.7",NA,NA,NA,13.503,2.981,NA,2909.092,3.215,NA,NA,120.318,77.779,-2905.562,1,"Jenny Stahl",0,"old cameras",2013,5,1,NA,NA,NA,NA,NA,"ratfish","ratfish",NA,NA,13,"","","","","",NA,NA
"77","2013_5_1_SL.avi",51912,"08:56.1",NA,NA,NA,6.096,8.833,NA,1769.423,13.084,NA,NA,275.419,-310.048,-1720.138,1,"Jenny Stahl",0,"old cameras",2013,5,1,NA,NA,NA,NA,NA,"flatfish","Dover sole",NA,NA,14,"","","Y","","",NA,NA
"78","2013_5_1_SL.avi",52279,"09:08.4",NA,NA,NA,7.456,2.044,NA,1904.962,18.272,NA,NA,441.695,-422.147,-1804.321,1,"Jenny Stahl",0,"old cameras",2013,5,1,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,15,"","","Y","","",NA,NA
"79","2013_6_1_SL.avi",4084,"20:35.3",NA,NA,NA,47.85,6.538,NA,4845.856,21.088,NA,NA,-1656.167,-595.415,-4514.965,1,"Jenny Stahl",0,"old cameras",2013,6,1,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,1,"","","","","",NA,NA
"80","2013_6_1_SL.avi",4570,"20:51.5",NA,NA,NA,101.964,5.952,NA,7009.268,22.353,NA,NA,2583.843,-727.712,-6474.877,1,"Jenny Stahl",0,"old cameras",2013,6,1,NA,NA,NA,NA,NA,"rockfish","yelloweye",145,145,3,"AD","milling","","","",NA,NA
"81","2013_6_1_SL.avi",4599,"20:52.5",NA,NA,677.941,96.734,3.336,0.99,5577.269,20.659,31.263,27.714,1811.845,-825.691,-5209.739,1,"Jenny Stahl",0,"old cameras",2013,6,1,NA,NA,NA,NA,NA,"rockfish","yelloweye",145,145,3,"AD","","","Tail bent; Video Quality Bad","",NA,NA
"82","2013_6_1_SL.avi",4620,"20:53.2",NA,NA,NA,34.976,3.966,NA,4023.433,24.793,NA,NA,1286.794,-1131.882,-3640.194,1,"Jenny Stahl",0,"old cameras",2013,6,1,NA,NA,NA,NA,NA,"rockfish","silvergray",157,157,2,"","","","","",NA,NA
