Trip Number,Vessel Name,Target Species Code,Trip Comments,Trip Fix Method,Dive Number,Management Area,Submersible Type,Vehicle,Dive Comments,Transect Type,Transect Number,Line Length Meters,Transect Area Description,Transect Fix Method,Transect Comment,Year,Transect Date,Observation Time,Common Name,Species Class,Species Code,Stage,Activity,Obs Number,Density Estimate,Distance Feet,Depth Meters,Quantity,Check ID,Species Comment,Video Path,Camera,Observation Source,Observation Type,Number of Fish
1,R/V Medeia,,submersible tracking system equipped with gyro compass,"DGPS, 5 minute fixes",5919,CSEO,manned,Delta,,Line Transect,1,784,Larch Bay,5  minute,"Area 1, random site 310, unfished. All fish depths were interpolated from NAV data because they are not overlaid on the video.",2003,5/30/2003,13:41:15,unknown,sponge,10043,,,10,,,168,,,,\\dfg.alaska.local\Research\R1\DCF_DRSVID\SubmersibleVideos\2003\2003_5919_1_A.mp4,A,habitat comment,single,1
1,R/V Medeia,,submersible tracking system equipped with gyro compass,"DGPS, 5 minute fixes",5919,CSEO,manned,Delta,,Line Transect,1,784,Larch Bay,5  minute,"Area 1, random site 310, unfished. All fish depths were interpolated from NAV data because they are not overlaid on the video.",2003,5/30/2003,13:43:42,unknown,sponge,10043,,,11,,,168,,,purple sponge,\\dfg.alaska.local\Research\R1\DCF_DRSVID\SubmersibleVideos\2003\2003_5919_1_A.mp4,A,habitat comment,single,1
1,R/V Medeia,,submersible tracking system equipped with gyro compass,"DGPS, 5 minute fixes",5919,CSEO,manned,Delta,,Line Transect,1,784,Larch Bay,5  minute,"Area 1, random site 310, unfished. All fish depths were interpolated from NAV data because they are not overlaid on the video.",2003,5/30/2003,13:43:50,redstripe,rockfish,158,,,12,,,168,,,,\\dfg.alaska.local\Research\R1\DCF_DRSVID\SubmersibleVideos\2003\2003_5919_1_A.mp4,A,habitat comment,single,1
1,R/V Medeia,,submersible tracking system equipped with gyro compass,"DGPS, 5 minute fixes",5919,CSEO,manned,Delta,,Line Transect,1,784,Larch Bay,5  minute,"Area 1, random site 310, unfished. All fish depths were interpolated from NAV data because they are not overlaid on the video.",2003,5/30/2003,13:44:34,unknown,sponge,10043,,,13,,,166,,,,\\dfg.alaska.local\Research\R1\DCF_DRSVID\SubmersibleVideos\2003\2003_5919_1_A.mp4,A,habitat comment,single,1
1,R/V Medeia,,submersible tracking system equipped with gyro compass,"DGPS, 5 minute fixes",5919,CSEO,manned,Delta,,Line Transect,1,784,Larch Bay,5  minute,"Area 1, random site 310, unfished. All fish depths were interpolated from NAV data because they are not overlaid on the video.",2003,5/30/2003,13:45:00,unknown,sponge,10043,,,14,,,166,,,,\\dfg.alaska.local\Research\R1\DCF_DRSVID\SubmersibleVideos\2003\2003_5919_1_A.mp4,A,habitat comment,single,1
1,R/V Medeia,,submersible tracking system equipped with gyro compass,"DGPS, 5 minute fixes",5919,CSEO,manned,Delta,,Line Transect,1,784,Larch Bay,5  minute,"Area 1, random site 310, unfished. All fish depths were interpolated from NAV data because they are not overlaid on the video.",2003,5/30/2003,13:45:35,pygmy,rockfish,179,,,15,,,166,,,,\\dfg.alaska.local\Research\R1\DCF_DRSVID\SubmersibleVideos\2003\2003_5919_1_A.mp4,A,habitat comment,single,1
1,R/V Medeia,,submersible tracking system equipped with gyro compass,"DGPS, 5 minute fixes",5919,CSEO,manned,Delta,,Line Transect,1,784,Larch Bay,5  minute,"Area 1, random site 310, unfished. All fish depths were interpolated from NAV data because they are not overlaid on the video.",2003,5/30/2003,13:49:32,unknown,sponge,10043,,,16,,,160,,,,\\dfg.alaska.local\Research\R1\DCF_DRSVID\SubmersibleVideos\2003\2003_5919_1_A.mp4,A,habitat comment,single,1
1,R/V Medeia,,submersible tracking system equipped with gyro compass,"DGPS, 5 minute fixes",5919,CSEO,manned,Delta,,Line Transect,1,784,Larch Bay,5  minute,"Area 1, random site 310, unfished. All fish depths were interpolated from NAV data because they are not overlaid on the video.",2003,5/30/2003,13:50:00,yellowtail,rockfish,155,,,17,,,161,,,,\\dfg.alaska.local\Research\R1\DCF_DRSVID\SubmersibleVideos\2003\2003_5919_1_A.mp4,A,habitat comment,single,1
1,R/V Medeia,,submersible tracking system equipped with gyro compass,"DGPS, 5 minute fixes",5919,CSEO,manned,Delta,,Line Transect,1,784,Larch Bay,5  minute,"Area 1, random site 310, unfished. All fish depths were interpolated from NAV data because they are not overlaid on the video.",2003,5/30/2003,13:50:20,lingcod,greenling,130,adult,,18,,0,160,,,,\\dfg.alaska.local\Research\R1\DCF_DRSVID\SubmersibleVideos\2003\2003_5919_1_A.mp4,A,fish count,single,1
1,R/V Medeia,,submersible tracking system equipped with gyro compass,"DGPS, 5 minute fixes",5919,CSEO,manned,Delta,,Line Transect,1,784,Larch Bay,5  minute,"Area 1, random site 310, unfished. All fish depths were interpolated from NAV data because they are not overlaid on the video.",2003,5/30/2003,13:50:40,dusky,rockfish,172,,,19,,,159,,,,\\dfg.alaska.local\Research\R1\DCF_DRSVID\SubmersibleVideos\2003\2003_5919_1_A.mp4,A,habitat comment,single,1
1,R/V Medeia,,submersible tracking system equipped with gyro compass,"DGPS, 5 minute fixes",5919,CSEO,manned,Delta,,Line Transect,1,784,Larch Bay,5  minute,"Area 1, random site 310, unfished. All fish depths were interpolated from NAV data because they are not overlaid on the video.",2003,5/30/2003,13:53:08,yelloweye,rockfish,145,adult,,20,,4,157,,,,\\dfg.alaska.local\Research\R1\DCF_DRSVID\SubmersibleVideos\2003\2003_5919_1_A.mp4,A,fish count,single,1
1,R/V Medeia,,submersible tracking system equipped with gyro compass,"DGPS, 5 minute fixes",5919,CSEO,manned,Delta,,Line Transect,1,784,Larch Bay,5  minute,"Area 1, random site 310, unfished. All fish depths were interpolated from NAV data because they are not overlaid on the video.",2003,5/30/2003,13:57:36,unknown,sponge,10043,,,21,,,163,,,,\\dfg.alaska.local\Research\R1\DCF_DRSVID\SubmersibleVideos\2003\2003_5919_1_A.mp4,A,habitat comment,single,1
1,R/V Medeia,,submersible tracking system equipped with gyro compass,"DGPS, 5 minute fixes",5919,CSEO,manned,Delta,,Line Transect,1,784,Larch Bay,5  minute,"Area 1, random site 310, unfished. All fish depths were interpolated from NAV data because they are not overlaid on the video.",2003,5/30/2003,13:59:06,yelloweye,rockfish,145,adult,,22,,6,165,,,by boulder,\\dfg.alaska.local\Research\R1\DCF_DRSVID\SubmersibleVideos\2003\2003_5919_1_A.mp4,A,fish count,single,1
1,R/V Medeia,,submersible tracking system equipped with gyro compass,"DGPS, 5 minute fixes",5919,CSEO,manned,Delta,,Line Transect,1,784,Larch Bay,5  minute,"Area 1, random site 310, unfished. All fish depths were interpolated from NAV data because they are not overlaid on the video.",2003,5/30/2003,13:59:20,ratfish,ratfish,714,,,23,,,165,,,,\\dfg.alaska.local\Research\R1\DCF_DRSVID\SubmersibleVideos\2003\2003_5919_1_A.mp4,A,habitat comment,single,1
1,R/V Medeia,,submersible tracking system equipped with gyro compass,"DGPS, 5 minute fixes",5919,CSEO,manned,Delta,,Line Transect,1,784,Larch Bay,5  minute,"Area 1, random site 310, unfished. All fish depths were interpolated from NAV data because they are not overlaid on the video.",2003,5/30/2003,14:00:58,Pacific cod,cod,110,,,24,,,164,,,,\\dfg.alaska.local\Research\R1\DCF_DRSVID\SubmersibleVideos\2003\2003_5919_1_A.mp4,A,habitat comment,single,1
1,R/V Medeia,,submersible tracking system equipped with gyro compass,"DGPS, 5 minute fixes",5919,CSEO,manned,Delta,,Line Transect,1,784,Larch Bay,5  minute,"Area 1, random site 310, unfished. All fish depths were interpolated from NAV data because they are not overlaid on the video.",2003,5/30/2003,14:01:46,unknown,sponge,10043,,,25,,,162,,,,\\dfg.alaska.local\Research\R1\DCF_DRSVID\SubmersibleVideos\2003\2003_5919_1_A.mp4,A,habitat comment,single,1
1,R/V Medeia,,submersible tracking system equipped with gyro compass,"DGPS, 5 minute fixes",5919,CSEO,manned,Delta,,Line Transect,1,784,Larch Bay,5  minute,"Area 1, random site 310, unfished. All fish depths were interpolated from NAV data because they are not overlaid on the video.",2003,5/30/2003,14:06:04,spot,shrimp,965,,,26,,,162,,,,\\dfg.alaska.local\Research\R1\DCF_DRSVID\SubmersibleVideos\2003\2003_5919_1_A.mp4,A,habitat comment,single,1
1,R/V Medeia,,submersible tracking system equipped with gyro compass,"DGPS, 5 minute fixes",5919,CSEO,manned,Delta,,Line Transect,2,758,Larch Bay,5  minute,"Area 1, random site 310, unfished. All fish depths were interpolated from NAV data because they are not overlaid on the video.",2003,5/30/2003,14:17:30,unknown,sponge,10043,,,1,,,162,,,,\\dfg.alaska.local\Research\R1\DCF_DRSVID\SubmersibleVideos\2003\2003_5919_2_A.mp4,A,habitat comment,single,1
1,R/V Medeia,,submersible tracking system equipped with gyro compass,"DGPS, 5 minute fixes",5919,CSEO,manned,Delta,,Line Transect,2,758,Larch Bay,5  minute,"Area 1, random site 310, unfished. All fish depths were interpolated from NAV data because they are not overlaid on the video.",2003,5/30/2003,14:19:30,spot,shrimp,965,,,2,,,160,,,,\\dfg.alaska.local\Research\R1\DCF_DRSVID\SubmersibleVideos\2003\2003_5919_2_A.mp4,A,habitat comment,single,1
1,R/V Medeia,,submersible tracking system equipped with gyro compass,"DGPS, 5 minute fixes",5919,CSEO,manned,Delta,,Line Transect,2,758,Larch Bay,5  minute,"Area 1, random site 310, unfished. All fish depths were interpolated from NAV data because they are not overlaid on the video.",2003,5/30/2003,14:19:30,unknown,sponge,10043,,,4,,,160,,,purple sponge,\\dfg.alaska.local\Research\R1\DCF_DRSVID\SubmersibleVideos\2003\2003_5919_2_A.mp4,A,habitat comment,single,1
1,R/V Medeia,,submersible tracking system equipped with gyro compass,"DGPS, 5 minute fixes",5919,CSEO,manned,Delta,,Line Transect,2,758,Larch Bay,5  minute,"Area 1, random site 310, unfished. All fish depths were interpolated from NAV data because they are not overlaid on the video.",2003,5/30/2003,14:19:30,war bonnet,prickleback,208,,,3,,,160,,,,\\dfg.alaska.local\Research\R1\DCF_DRSVID\SubmersibleVideos\2003\2003_5919_2_A.mp4,A,habitat comment,single,1
1,R/V Medeia,,submersible tracking system equipped with gyro compass,"DGPS, 5 minute fixes",5919,CSEO,manned,Delta,,Line Transect,2,758,Larch Bay,5  minute,"Area 1, random site 310, unfished. All fish depths were interpolated from NAV data because they are not overlaid on the video.",2003,5/30/2003,14:21:20,redstripe,rockfish,158,,,5,,,161,,,,\\dfg.alaska.local\Research\R1\DCF_DRSVID\SubmersibleVideos\2003\2003_5919_2_A.mp4,A,habitat comment,single,1
1,R/V Medeia,,submersible tracking system equipped with gyro compass,"DGPS, 5 minute fixes",5919,CSEO,manned,Delta,,Line Transect,2,758,Larch Bay,5  minute,"Area 1, random site 310, unfished. All fish depths were interpolated from NAV data because they are not overlaid on the video.",2003,5/30/2003,14:21:30,box crab,crab,900,,,6,,,161,,,,\\dfg.alaska.local\Research\R1\DCF_DRSVID\SubmersibleVideos\2003\2003_5919_2_A.mp4,A,habitat comment,single,1
1,R/V Medeia,,submersible tracking system equipped with gyro compass,"DGPS, 5 minute fixes",5919,CSEO,manned,Delta,,Line Transect,2,758,Larch Bay,5  minute,"Area 1, random site 310, unfished. All fish depths were interpolated from NAV data because they are not overlaid on the video.",2003,5/30/2003,14:25:01,unknown,sponge,10043,,,7,,,159,,,,\\dfg.alaska.local\Research\R1\DCF_DRSVID\SubmersibleVideos\2003\2003_5919_2_A.mp4,A,habitat comment,single,1
1,R/V Medeia,,submersible tracking system equipped with gyro compass,"DGPS, 5 minute fixes",5919,CSEO,manned,Delta,,Line Transect,2,758,Larch Bay,5  minute,"Area 1, random site 310, unfished. All fish depths were interpolated from NAV data because they are not overlaid on the video.",2003,5/30/2003,14:27:16,sculpin,sculpin,160,,,8,,,157,,,,\\dfg.alaska.local\Research\R1\DCF_DRSVID\SubmersibleVideos\2003\2003_5919_2_A.mp4,A,habitat comment,single,1
1,R/V Medeia,,submersible tracking system equipped with gyro compass,"DGPS, 5 minute fixes",5919,CSEO,manned,Delta,,Line Transect,2,758,Larch Bay,5  minute,"Area 1, random site 310, unfished. All fish depths were interpolated from NAV data because they are not overlaid on the video.",2003,5/30/2003,14:27:16,unknown,sponge,10043,,,9,,,157,,,,\\dfg.alaska.local\Research\R1\DCF_DRSVID\SubmersibleVideos\2003\2003_5919_2_A.mp4,A,habitat comment,single,1
1,R/V Medeia,,submersible tracking system equipped with gyro compass,"DGPS, 5 minute fixes",5919,CSEO,manned,Delta,,Line Transect,2,758,Larch Bay,5  minute,"Area 1, random site 310, unfished. All fish depths were interpolated from NAV data because they are not overlaid on the video.",2003,5/30/2003,14:29:58,yelloweye,rockfish,145,adult,,10,,15,158,,,by boulder over hole,\\dfg.alaska.local\Research\R1\DCF_DRSVID\SubmersibleVideos\2003\2003_5919_2_A.mp4,A,fish count,single,1
1,R/V Medeia,,submersible tracking system equipped with gyro compass,"DGPS, 5 minute fixes",5919,CSEO,manned,Delta,,Line Transect,2,758,Larch Bay,5  minute,"Area 1, random site 310, unfished. All fish depths were interpolated from NAV data because they are not overlaid on the video.",2003,5/30/2003,14:40:31,yelloweye,rockfish,145,adult,,11,,6,152,,,40 cm,\\dfg.alaska.local\Research\R1\DCF_DRSVID\SubmersibleVideos\2003\2003_5919_2_A.mp4,A,fish count,single,1
1,R/V Medeia,,submersible tracking system equipped with gyro compass,"DGPS, 5 minute fixes",5919,CSEO,manned,Delta,,Line Transect,2,758,Larch Bay,5  minute,"Area 1, random site 310, unfished. All fish depths were interpolated from NAV data because they are not overlaid on the video.",2003,5/30/2003,14:42:51,lingcod,greenling,130,adult,,12,,20,148,,,missed in sub,\\dfg.alaska.local\Research\R1\DCF_DRSVID\SubmersibleVideos\2003\2003_5919_2_A.mp4,A,fish count,single,1
1,R/V Medeia,,submersible tracking system equipped with gyro compass,"DGPS, 5 minute fixes",5919,CSEO,manned,Delta,,Line Transect,2,758,Larch Bay,5  minute,"Area 1, random site 310, unfished. All fish depths were interpolated from NAV data because they are not overlaid on the video.",2003,5/30/2003,14:45:44,unknown,sponge,10043,,,13,,,152,,,,\\dfg.alaska.local\Research\R1\DCF_DRSVID\SubmersibleVideos\2003\2003_5919_2_A.mp4,A,habitat comment,single,1
1,R/V Medeia,,submersible tracking system equipped with gyro compass,"DGPS, 5 minute fixes",5920,CSEO,manned,Delta,,Line Transect,1,547,"Larch Bay, elephant skin",5  minute,"Area 1, random site 312 (current wrong, never made it to 312) All fish depths were interpolated from NAV data because they are not overlaid on the video.",2003,5/30/2003,16:15:00,unknown,sponge,10043,,,1,,,155,,,dense small fauna - sponge,\\dfg.alaska.local\Research\R1\DCF_DRSVID\SubmersibleVideos\2003\2003_5920_1_A.mp4,A,habitat comment,single,1
1,R/V Medeia,,submersible tracking system equipped with gyro compass,"DGPS, 5 minute fixes",5920,CSEO,manned,Delta,,Line Transect,1,547,"Larch Bay, elephant skin",5  minute,"Area 1, random site 312 (current wrong, never made it to 312) All fish depths were interpolated from NAV data because they are not overlaid on the video.",2003,5/30/2003,16:17:07,dusky,rockfish,172,,,2,,,155,,,,\\dfg.alaska.local\Research\R1\DCF_DRSVID\SubmersibleVideos\2003\2003_5920_1_A.mp4,A,habitat comment,single,1
1,R/V Medeia,,submersible tracking system equipped with gyro compass,"DGPS, 5 minute fixes",5920,CSEO,manned,Delta,,Line Transect,1,547,"Larch Bay, elephant skin",5  minute,"Area 1, random site 312 (current wrong, never made it to 312) All fish depths were interpolated from NAV data because they are not overlaid on the video.",2003,5/30/2003,16:17:10,unknown,sponge,10043,,,4,,,155,,,dense medium sponge,\\dfg.alaska.local\Research\R1\DCF_DRSVID\SubmersibleVideos\2003\2003_5920_1_A.mp4,A,habitat comment,single,1
1,R/V Medeia,,submersible tracking system equipped with gyro compass,"DGPS, 5 minute fixes",5920,CSEO,manned,Delta,,Line Transect,1,547,"Larch Bay, elephant skin",5  minute,"Area 1, random site 312 (current wrong, never made it to 312) All fish depths were interpolated from NAV data because they are not overlaid on the video.",2003,5/30/2003,16:17:10,yelloweye,rockfish,145,adult,,3,,3,155,,,,\\dfg.alaska.local\Research\R1\DCF_DRSVID\SubmersibleVideos\2003\2003_5920_1_A.mp4,A,fish count,single,1
1,R/V Medeia,,submersible tracking system equipped with gyro compass,"DGPS, 5 minute fixes",5920,CSEO,manned,Delta,,Line Transect,1,547,"Larch Bay, elephant skin",5  minute,"Area 1, random site 312 (current wrong, never made it to 312) All fish depths were interpolated from NAV data because they are not overlaid on the video.",2003,5/30/2003,16:24:53,rosethorn,rockfish,150,adult,,5,,10,150,,,,\\dfg.alaska.local\Research\R1\DCF_DRSVID\SubmersibleVideos\2003\2003_5920_1_A.mp4,A,fish count,single,1
1,R/V Medeia,,submersible tracking system equipped with gyro compass,"DGPS, 5 minute fixes",5920,CSEO,manned,Delta,,Line Transect,1,547,"Larch Bay, elephant skin",5  minute,"Area 1, random site 312 (current wrong, never made it to 312) All fish depths were interpolated from NAV data because they are not overlaid on the video.",2003,5/30/2003,16:24:56,yelloweye,rockfish,145,adult,,6,,7,150,,,,\\dfg.alaska.local\Research\R1\DCF_DRSVID\SubmersibleVideos\2003\2003_5920_1_A.mp4,A,fish count,single,1
1,R/V Medeia,,submersible tracking system equipped with gyro compass,"DGPS, 5 minute fixes",5920,CSEO,manned,Delta,,Line Transect,1,547,"Larch Bay, elephant skin",5  minute,"Area 1, random site 312 (current wrong, never made it to 312) All fish depths were interpolated from NAV data because they are not overlaid on the video.",2003,5/30/2003,16:25:24,rosethorn,rockfish,150,adult,,7,,3,150,,,,\\dfg.alaska.local\Research\R1\DCF_DRSVID\SubmersibleVideos\2003\2003_5920_1_A.mp4,A,fish count,single,1
1,R/V Medeia,,submersible tracking system equipped with gyro compass,"DGPS, 5 minute fixes",5920,CSEO,manned,Delta,,Line Transect,1,547,"Larch Bay, elephant skin",5  minute,"Area 1, random site 312 (current wrong, never made it to 312) All fish depths were interpolated from NAV data because they are not overlaid on the video.",2003,5/30/2003,16:28:50,yelloweye,rockfish,145,juvenile,,8,,8,151,,,,\\dfg.alaska.local\Research\R1\DCF_DRSVID\SubmersibleVideos\2003\2003_5920_1_A.mp4,A,fish count,single,1
1,R/V Medeia,,submersible tracking system equipped with gyro compass,"DGPS, 5 minute fixes",5920,CSEO,manned,Delta,,Line Transect,1,547,"Larch Bay, elephant skin",5  minute,"Area 1, random site 312 (current wrong, never made it to 312) All fish depths were interpolated from NAV data because they are not overlaid on the video.",2003,5/30/2003,16:33:05,yelloweye,rockfish,145,adult,,9,,12,145,,,,\\dfg.alaska.local\Research\R1\DCF_DRSVID\SubmersibleVideos\2003\2003_5920_1_A.mp4,A,fish count,single,1
1,R/V Medeia,,submersible tracking system equipped with gyro compass,"DGPS, 5 minute fixes",5920,CSEO,manned,Delta,,Line Transect,1,547,"Larch Bay, elephant skin",5  minute,"Area 1, random site 312 (current wrong, never made it to 312) All fish depths were interpolated from NAV data because they are not overlaid on the video.",2003,5/30/2003,16:35:13,lingcod,greenling,130,adult,,10,,8,145,,,,\\dfg.alaska.local\Research\R1\DCF_DRSVID\SubmersibleVideos\2003\2003_5920_1_A.mp4,A,fish count,single,1
1,R/V Medeia,,submersible tracking system equipped with gyro compass,"DGPS, 5 minute fixes",5920,CSEO,manned,Delta,,Line Transect,1,547,"Larch Bay, elephant skin",5  minute,"Area 1, random site 312 (current wrong, never made it to 312) All fish depths were interpolated from NAV data because they are not overlaid on the video.",2003,5/30/2003,16:35:13,unknown,sponge,10043,,,11,,,145,,,not as many sponge,\\dfg.alaska.local\Research\R1\DCF_DRSVID\SubmersibleVideos\2003\2003_5920_1_A.mp4,A,habitat comment,single,1
1,R/V Medeia,,submersible tracking system equipped with gyro compass,"DGPS, 5 minute fixes",5920,CSEO,manned,Delta,,Line Transect,1,547,"Larch Bay, elephant skin",5  minute,"Area 1, random site 312 (current wrong, never made it to 312) All fish depths were interpolated from NAV data because they are not overlaid on the video.",2003,5/30/2003,16:35:24,unknown,sponge,10043,,,12,,,145,,,,\\dfg.alaska.local\Research\R1\DCF_DRSVID\SubmersibleVideos\2003\2003_5920_1_A.mp4,A,habitat comment,single,1
1,R/V Medeia,,submersible tracking system equipped with gyro compass,"DGPS, 5 minute fixes",5920,CSEO,manned,Delta,,Line Transect,1,547,"Larch Bay, elephant skin",5  minute,"Area 1, random site 312 (current wrong, never made it to 312) All fish depths were interpolated from NAV data because they are not overlaid on the video.",2003,5/30/2003,16:35:30,unknown,sponge,10043,,,13,,,145,,,,\\dfg.alaska.local\Research\R1\DCF_DRSVID\SubmersibleVideos\2003\2003_5920_1_A.mp4,A,habitat comment,single,1
1,R/V Medeia,,submersible tracking system equipped with gyro compass,"DGPS, 5 minute fixes",5920,CSEO,manned,Delta,,Line Transect,1,547,"Larch Bay, elephant skin",5  minute,"Area 1, random site 312 (current wrong, never made it to 312) All fish depths were interpolated from NAV data because they are not overlaid on the video.",2003,5/30/2003,16:39:24,unknown,sponge,10043,,,14,,,148,,,,\\dfg.alaska.local\Research\R1\DCF_DRSVID\SubmersibleVideos\2003\2003_5920_1_A.mp4,A,habitat comment,single,1
1,R/V Medeia,,submersible tracking system equipped with gyro compass,"DGPS, 5 minute fixes",5920,CSEO,manned,Delta,,Line Transect,1,547,"Larch Bay, elephant skin",5  minute,"Area 1, random site 312 (current wrong, never made it to 312) All fish depths were interpolated from NAV data because they are not overlaid on the video.",2003,5/30/2003,16:42:41,yelloweye,rockfish,145,adult,,15,,1,145,,,,\\dfg.alaska.local\Research\R1\DCF_DRSVID\SubmersibleVideos\2003\2003_5920_1_B.mp4,B,fish count,single,1
1,R/V Medeia,,submersible tracking system equipped with gyro compass,"DGPS, 5 minute fixes",5920,CSEO,manned,Delta,,Line Transect,2,789,"Larch Bay, elephant skin",5  minute,"Area 1, random site 312 (current wrong, never made it to 312) All fish depths were interpolated from NAV data because they are not overlaid on the video.",2003,5/30/2003,16:56:24,unknown,sponge,10043,,,1,,,146,,,,\\dfg.alaska.local\Research\R1\DCF_DRSVID\SubmersibleVideos\2003\2003_5920_2_A.mp4,A,habitat comment,single,1
1,R/V Medeia,,submersible tracking system equipped with gyro compass,"DGPS, 5 minute fixes",5920,CSEO,manned,Delta,,Line Transect,2,789,"Larch Bay, elephant skin",5  minute,"Area 1, random site 312 (current wrong, never made it to 312) All fish depths were interpolated from NAV data because they are not overlaid on the video.",2003,5/30/2003,17:04:43,rosethorn,rockfish,150,adult,,2,,8,147,,,,\\dfg.alaska.local\Research\R1\DCF_DRSVID\SubmersibleVideos\2003\2003_5920_2_A.mp4,A,fish count,single,1
