Year,Dive No,Stock Assessment Year,Vehicle,Submersible Type,Area Description,Management Area,Dive Start Time,Dive End Time,Dive Comments,Observer First Name,Observer Last Name,Pilot First Name,Pilot Last Name,Transect Type,Transect No,Transect Date,Transect Start Time,Transect End Time,Transect Fix Method,Transect Comment,Vehicle,Line Length Meters,Stage,Specimen No,Length Direction Deg,Length Mid X Mm,Length Mid Y Mm,Length Mid Z Mm,Length Mm,Length Obs Time,Length Precision Mm,Length Range Mm,Length Rms Mm,Length Comment,Horizontal Direction Deg,Vertical Direction Deg
1990,2056,,Delta,manned,"Cape Edgecumbe, Lazaria",CSEO,8/25/1990,8/25/1990,,Tory,O'Connell,Richard,Slater,Line Transect,1,8/25/1990,,15:26:20,5  minute,Transect T44,Delta,1446,,,,,,,,,,,,,,
1990,2056,,Delta,manned,Sitka Point,CSEO,8/25/1990,8/25/1990,,Tory,O'Connell,Richard,Slater,Line Transect,2,8/25/1990,15:31:07,,5  minute,Transect T45,Delta,1345,,,,,,,,,,,,,,
1990,2056,,Delta,manned,Sitka Point,CSEO,8/25/1990,8/25/1990,,Tory,O'Connell,Richard,Slater,Line Transect,3,8/25/1990,,,5  minute,Transect T46,Delta,1215,,,,,,,,,,,,,,
1991,2227,,Delta,manned,34 fathom Pinnacle,CSEO,5/27/1991,5/27/1991,,Dave,Carlile,Richard,Slater,Line Transect,2,5/27/1991,11:52:08,12:22:00,5  minute,Transect 91-2,Delta,891,,,,,,,,,,,,,,
1991,2227,,Delta,manned,"Pinnacle, 19 fa",CSEO,5/27/1991,5/27/1991,,Dave,Carlile,Richard,Slater,Line Transect,1,5/27/1991,10:50:00,11:32:00,5  minute,Transect 91-1,Delta,623,,,,,,,,,,,,,,
1991,2228,,Delta,manned,Symonds Bay,CSEO,5/27/1991,5/27/1991,,Tory,O'Connell,Dave,Slater,Line Transect,1,5/27/1991,16:00:00,16:37:09,5  minute,Transect 91-03,Delta,1138,,,,,,,,,,,,,,
1991,2229,,Delta,manned,"Biorka Island, 4.5 miles north",CSEO,5/27/1991,5/27/1991,,Dave,Carlile,Dave,Slater,Line Transect,1,5/27/1991,,,5  minute,No picture on screen for fixed video,Delta,869,,,,,,,,,,,,,,
1991,2230,,Delta,manned,Sitka Sound N of Biorka,CSEO,5/28/1991,5/28/1991,,Tory,O'Connell,Richard,Slater,Line Transect,1,5/28/1991,9:45:00,10:15:00,5  minute,"Transect 91-5, circled knob at second fix, made circular transect",Delta,376,,,,,,,,,,,,,,
1991,2230,,Delta,manned,Sitka Sound N of Biorka,CSEO,5/28/1991,5/28/1991,,Tory,O'Connell,Richard,Slater,Line Transect,2,5/28/1991,10:17:31,10:48:00,5  minute,Transect 91-6,Delta,676,,,,,,,,,,,,,,
1991,2231,,Delta,manned,Sitka Sound,CSEO,5/28/1991,5/28/1991,,Dave,Carlile,Dave,Slater,Line Transect,1,5/28/1991,,,5  minute,Didn't turn on 8mm,Delta,192,,,,,,,,,,,,,,
1991,2231,,Delta,manned,Sitka Sound,CSEO,5/28/1991,5/28/1991,,Dave,Carlile,Dave,Slater,Line Transect,2,5/28/1991,12:38:23,13:17:00,5  minute,Transect 91-8,Delta,893,,,,,,,,,,,,,,
1991,2232,,Delta,manned,Salisbury offshore,CSEO,5/29/1991,5/29/1991,,Tory,O'Connell,Richard,Slater,Line Transect,1,5/29/1991,12:05:00,12:50:00,5  minute,"Transect 91-9, start and end time via Rich/Pisces",Delta,675,,,,,,,,,,,,,,
1991,2232,,Delta,manned,Salisbury offshore,CSEO,5/29/1991,5/29/1991,,Tory,O'Connell,Richard,Slater,Line Transect,2,5/29/1991,12:54:00,13:38:22,5  minute,"Transect 91-10, start and end Pisces time intermitant all from wheelhouse monitor",Delta,919,,,,,,,,,,,,,,
1991,2233,,Delta,manned,"Kruzof Island, NW",CSEO,5/29/1991,5/29/1991,,Dave,Carlile,Dave,Slater,Line Transect,1,5/29/1991,15:32:30,16:16:00,5  minute,"Transect 91-11, changed time on monitor to correspond with Pisces before first transect",Delta,1204,,,,,,,,,,,,,,
1991,2233,,Delta,manned,"Pt. Kruzof, NW of",CSEO,5/29/1991,5/29/1991,,Dave,Carlile,Dave,Slater,Line Transect,2,5/29/1991,16:27:00,17:16:00,5  minute,Transect 91-12,Delta,1659,,,,,,,,,,,,,,
1991,2236,,Delta,manned,"Shelikof Bay, due west 6 miles",CSEO,5/30/1991,5/30/1991,,Tory,O'Connell,Richard,Slater,Line Transect,1,5/30/1991,7:44:10,8:29:50,5  minute,"Alternate dive number 91-13, Lots of sponges",Delta,1548,,,,,,,,,,,,,,
1991,2237,,Delta,manned,Shelikof Bay,CSEO,5/30/1991,5/30/1991,,Dave,Carlile,Dave,Slater,Line Transect,2,5/30/1991,10:53:57,11:49:48,5  minute,"Transect 91-15, one hour transect",Delta,1954,,,,,,,,,,,,,,
1991,2237,,Delta,manned,Shelikof Bay #2,CSEO,5/30/1991,5/30/1991,,Dave,Carlile,Dave,Slater,Line Transect,1,5/30/1991,9:47:15,10:43:49,5  minute,"Alternate dive number 2237_1, trying 2 one hour transects",Delta,1943,,,,,,,,,,,,,,
1991,2243,,Delta,manned,"Biorka, offshore",CSEO,6/1/1991,6/6/1991,,Tory,O'Connell,Richard,Slater,Line Transect,1,6/6/1991,12:20:08,13:09:22,5  minute,"Transect 91-19, 5 dives yesterday were for the sea cucumber project",Delta,934,,,,,,,,,,,,,,
1991,2243,,Delta,manned,"Biorka, offshore",CSEO,6/1/1991,6/6/1991,,Tory,O'Connell,Richard,Slater,Line Transect,2,6/1/1991,13:13:30,13:43:07,5  minute,Transect 91-20,Delta,1008,,,,,,,,,,,,,,
1991,2244,,Delta,manned,"Cape Edgecumbe, SW",CSEO,6/1/1991,6/1/1991,,Dave,Carlile,Dave,Slater,Line Transect,1,6/1/1991,16:23:14,17:22:36,5  minute,Transect 91-21,Delta,2228,,,,,,,,,,,,,,
1991,2244,,Delta,manned,"Cape Edgecumbe, SW 2.25 miles",CSEO,6/1/1991,6/1/1991,,Dave,Carlile,Dave,Slater,Line Transect,2,6/1/1991,,,5  minute,"Fix 6 was taken at 18:27:25 video time and the tape ran out at 18:28:11Transect 91-22, one hour transect",Delta,2889,,,,,,,,,,,,,,
1991,2245,,Delta,manned,Kruzof Island,CSEO,6/1/1991,6/1/1991,,Dave,Gordon,Richard,Slater,Line Transect,1,6/1/1991,19:48:37,20:33:04,5  minute,Transect 91-23,Delta,1795,,,,,,,,,,,,,,
1991,2245,,Delta,manned,Kruzof Island,CSEO,6/1/1991,6/1/1991,,Dave,Gordon,Richard,Slater,Line Transect,2,6/1/1991,20:38:28,21:23:14,5  minute,Transect 91-24,Delta,2090,,,,,,,,,,,,,,
1991,2246,,Delta,manned,"Necker Bay, W offshore",CSEO,6/2/1991,6/2/1991,,Tory,O'Connell,Dave,Slater,Line Transect,1,6/2/1991,11:34:25,12:25:26,5  minute,Transect 91-25,Delta,1665,,,,,,,,,,,,,,
1991,2246,,Delta,manned,"Necker Bay, offshore",CSEO,6/2/1991,6/2/1991,,Tory,O'Connell,Dave,Slater,Line Transect,2,6/2/1991,12:32:39,13:16:30,5  minute,Transect 91-26,Delta,1618,,,,,,,,,,,,,,
1991,2247,,Delta,manned,Off Crawfish,CSEO,6/2/1991,6/2/1991,,Dave,Carlile,Richard,Slater,Line Transect,1,6/2/1991,14:23:55,15:50:18,5  minute,Transect 91-27,Delta,2353,,,,,,,,,,,,,,
1991,2248,,Delta,manned,St. Lazaria,CSEO,6/3/1991,6/3/1991,,Tory,O'Connell,Dave,Slater,Experimental,1,6/3/1991,0:03:36,1:05:00,5  minute,"Transect 91-28, night dive",Delta,2164,,,,,,,,,,,,,,
1991,2249,,Delta,manned,St. Lazaria,CSEO,6/3/1991,6/3/1991,,Tory,O'Connell,Dave,Slater,Experimental,1,6/3/1991,0:09:20,10:20:00,5  minute,"Transect 91-29, day dive in same place as 2248_1",Delta,2270,,,,,,,,,,,,,,
1991,2250,,Delta,manned,"Beaver Point, 80 fm",CSEO,6/3/1991,6/3/1991,,Dave,Carlile,Richard,Slater,Line Transect,2,6/3/1991,13:23:33,14:26:08,5  minute,Transect 91-31,Delta,1973,,,,,,,,,,,,,,
1991,2250,,Delta,manned,Cape Edgecumbe,CSEO,6/3/1991,6/3/1991,,Dave,Carlile,Richard,Slater,Line Transect,1,6/3/1991,12:22:20,13:18:53,5  minute,Transect 91-30,Delta,2109,,,,,,,,,,,,,,
1991,2251,,Delta,manned,Cape Edgecumbe,CSEO,6/3/1991,6/3/1991,,Dave,Gordon,Dave,Slater,Aborted,2,6/3/1991,17:24:05,17:47:55,5  minute,Transect 91-33,Delta,741,,,,,,,,,,,,,,
1991,2251,,Delta,manned,Cape Edgecumbe,CSEO,6/3/1991,6/3/1991,,Dave,Gordon,Dave,Slater,Line Transect,1,6/3/1991,16:19:18,17:20:12,5  minute,Transect 91-32,Delta,2470,,,,,,,,,,,,,,
1992,2713,,Delta,manned,"Shelikof Bay, (SW of), off Neva Bay 4 mi offshore",CSEO,4/22/1992,4/22/1992,,Tory,O'Connell,Richard,Slater,Lingcod Nesting,1,4/22/1992,,,5 minute,Lingcod Project,Delta,969,,,,,,,,,,,,,,
1992,2714,,Delta,manned,"Neva Bay, north of and 1 mile offshore",CSEO,4/22/1992,4/22/1992,,Tory,O'Connell,Chris,Ijames,Lingcod Nesting,1,4/22/1992,,,5 minute,,Delta,1296,,,,,,,,,,,,,,
1992,2715,,Delta,manned,"Shelikof, SW 3 mi offshore",CSEO,4/22/1992,4/22/1992,,Diedra,Holum,Dave,Slater,Lingcod Nesting,1,4/22/1992,,,5 minute,,Delta,580,,,,,,,,,,,,,,
1992,2716,,Delta,manned,,CSEO,4/22/1992,4/22/1992,,Tory,O'Connell,Chris,Ijames,Lingcod Nesting,1,4/22/1992,,,5 minute,,Delta,686,,,,,,,,,,,,,,
1992,2717,,Delta,manned,Pinnacles,CSEO,4/23/1992,4/23/1992,,Tory,O'Connell,Richard,Slater,Lingcod Nesting,1,4/23/1992,,,,"2 nests at 66 meter depth near fix 1, dive started at 9:45 but no GPS fix",Delta,,,,,,,,,,,,,,,
1992,2718,,Delta,manned,Pinnacle,CSEO,4/23/1992,4/23/1992,,Beverly,Richardson,Dave,Slater,Lingcod Nesting,1,4/23/1992,,,5 minute,,Delta,90,,,,,,,,,,,,,,
1992,2719,,Delta,manned,Pinnacle,CSEO,4/23/1992,4/23/1992,,Diedra,Holum,Chris,Ijames,Lingcod Nesting,1,4/23/1992,,,5 minute,,Delta,200,,,,,,,,,,,,,,
1992,2720,,Delta,manned,Pinnacle,CSEO,4/23/1992,4/23/1992,,Tory,O'Connell,Richard,Slater,Lingcod Nesting,1,4/23/1992,,,5 minute,"Nest at 38 meter depth, fix 1 (may be incorrect lat and long), habitat there Big B 10ft-20ft diameter",Delta,970,,,,,,,,,,,,,,
1992,2723,,Delta,manned,"Point Mary, NW of",CSEO,4/24/1992,4/24/1992,,Tory,O'Connell,Richard,Slater,Lingcod Nesting,1,4/24/1992,,,5 minute,Few lingcod,Delta,791,,,,,,,,,,,,,,
1992,2724,,Delta,manned,Gilmer Bay,CSEO,4/24/1992,4/24/1992,,Diedra,Holum,Dave,Slater,Lingcod Nesting,1,4/24/1992,,,5 minute,,Delta,1535,,,,,,,,,,,,,,
1992,2725,,Delta,manned,Cape Georgiana,CSEO,4/24/1992,4/24/1992,,Tory,O'Connell,Chris,Ijames,Aborted,1,4/24/1992,,,,Aborted due to leak,Delta,,,,,,,,,,,,,,,
1992,2726,,Delta,manned,"Khaz Bay, N of near rock offshore",NSEO,4/25/1992,4/25/1992,,Tory,O'Connell,Richard,Slater,Lingcod Nesting,1,4/25/1992,,,5 minute,,Delta,133,,,,,,,,,,,,,,
1992,2727,,Delta,manned,"Slocum Arm, Trap Point",NSEO,4/25/1992,4/25/1992,,Tory,O'Connell,Dave,Slater,Lingcod Nesting,1,4/25/1992,,,5 minute,"Dove here due to weather, steep rock wall for part of dive",Delta,169,,,,,,,,,,,,,,
1992,2728,,Delta,manned,Slocum Arm,NSEO,4/25/1992,4/25/1992,,Beverly,Richardson,Chris,Ijames,Lingcod Nesting,1,4/25/1992,,,5 minute,,Delta,146,,,,,,,,,,,,,,
1992,2729,,Delta,manned,Bieli Rocks,CSEO,4/25/1992,4/25/1992,,Diedra,Holum,Chris,Ijames,Lingcod Nesting,1,4/25/1992,,,,Short dive,Delta,,,,,,,,,,,,,,,
1992,2730,,Delta,manned,Kanga Bay,CSEO,4/26/1992,4/26/1992,,Tory,O'Connell,Richard,Slater,Lingcod Nesting,1,4/26/1992,,,5 minute,Weather dive,Delta,1171,,,,,,,,,,,,,,
1992,2731,,Delta,manned,Vasilef Bank,CSEO,4/26/1992,4/26/1992,,Tory,O'Connell,Dave,Slater,Lingcod Nesting,1,4/26/1992,,,5 minute,,Delta,416,,,,,,,,,,,,,,
